file_path,label
voice_dataset\LibriSeVoc\gt\1040_133433_000079_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000095_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000103_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000105_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000113_000002.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000115_000001.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000129_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000138_000001.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000157_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000164_000000.wav,1
voice_dataset\LibriSeVoc\gt\1040_133433_000168_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000002_000002.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000004_000003.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000004_000005.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000009_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000010_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000011_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000016_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000018_000002.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000025_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000028_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000033_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000035_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000045_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000048_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000051_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000052_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000053_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000054_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000056_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000056_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000058_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000060_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000062_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000003.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000006.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000007.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000008.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000009.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000010.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000066_000011.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000067_000000.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000067_000002.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000067_000003.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000067_000005.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000067_000008.wav,1
voice_dataset\LibriSeVoc\gt\1069_133699_000069_000001.wav,1
voice_dataset\LibriSeVoc\gt\1069_133709_000043_000030.wav,1
voice_dataset\LibriSeVoc\gt\1069_133709_000043_000031.wav,1
voice_dataset\LibriSeVoc\gt\1069_133709_000043_000033.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000003_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000005_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000005_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000006_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000006_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000006_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000006_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000006_000006.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000006_000007.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000007_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000007_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000007_000003.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000007_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000007_000012.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000003.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000006.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000008.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000010.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000011.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000014.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000008_000015.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000009_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000009_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000009_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000011_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000014_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000015_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000016_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000017_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000018_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000018_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000018_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000019_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000019_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000019_000003.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000019_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000019_000007.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000019_000008.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000020_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000020_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000020_000007.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000020_000010.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000020_000013.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000022_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000024_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000024_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000025_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000026_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000026_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000026_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000026_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000026_000007.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000026_000009.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000027_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000003.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000006.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000010.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000011.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000012.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000014.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000015.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000028_000018.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000030_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000030_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000030_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000031_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000031_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_129236_000031_000009.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000002_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000003_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000003_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000004_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000005_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000005_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000009_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000014_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000018_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000019_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000022_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000024_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000024_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000029_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000030_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000030_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000030_000003.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000036_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000036_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000038_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000041_000003.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000042_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000044_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000045_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000045_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000045_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000046_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000047_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000049_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000049_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000050_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000050_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000056_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000056_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000056_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000056_000003.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000056_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000059_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000059_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000069_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000082_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000094_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000094_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000095_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000096_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000097_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000104_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000108_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134315_000113_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000002_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000002_000005.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000002_000006.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000003_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000019_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000031_000002.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000031_000004.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000034_000001.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000035_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000037_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000040_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000044_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000046_000000.wav,1
voice_dataset\LibriSeVoc\gt\1088_134318_000047_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000003_000003.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000003_000004.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000003_000006.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000003_000007.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000003_000008.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000003_000009.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000004_000002.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000003.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000010.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000011.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000012.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000014.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000016.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000018.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000006_000020.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000008_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000012_000001.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000012_000003.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000012_000004.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000012_000006.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000012_000007.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000012_000010.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000012_000011.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000002.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000003.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000004.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000005.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000007.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000008.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000010.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000012.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000018.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000019.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000020.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000013_000021.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000014_000001.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000014_000003.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000014_000004.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000015_000001.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000015_000003.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000015_000004.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000015_000005.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000015_000006.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000015_000008.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000015_000009.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000023_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000025_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000027_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000028_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000030_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000031_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000031_000001.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000031_000002.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000031_000004.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000031_000005.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000031_000006.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000035_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000036_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000040_000000.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000045_000001.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000045_000002.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000048_000001.wav,1
voice_dataset\LibriSeVoc\gt\1098_133695_000050_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000004_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000004_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000007_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000009_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000010_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000011_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000013_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000014_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000014_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000014_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000017_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000017_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000018_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000019_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000019_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000021_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000023_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000023_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000024_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000025_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000025_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000025_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000039_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000039_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000043_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000046_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000048_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000052_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000054_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000062_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000071_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000072_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000074_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000075_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000076_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000077_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000077_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000077_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000084_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132847_000087_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000005_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000006_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000011_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000013_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000014_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000016_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000025_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000026_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000026_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000027_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000028_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000028_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000028_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000029_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000029_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000030_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000032_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000033_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000034_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000035_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000035_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000036_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000038_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000038_000003.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000039_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000041_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000042_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000043_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000043_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000044_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_132851_000045_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000000_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000001_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000001_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000001_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000002_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000002_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000003_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000003_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000004_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000004_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000004_000003.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000005_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000005_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000007_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000010_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000012_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000012_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000013_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000013_000004.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000014_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000014_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000015_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000015_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000015_000003.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000016_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000016_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000016_000003.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000017_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000017_000004.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000019_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000020_000000.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000020_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000020_000002.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000021_000003.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000021_000004.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000021_000005.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000022_000001.wav,1
voice_dataset\LibriSeVoc\gt\1116_137572_000024_000000.wav,1
